seed,panel,weight,target_ratio,score
10,F,0.3,1.25,1.0
10,F,0.3,1.5,1.0
10,F,0.3,2.0,0.85
11,A,0.05,1.25,0.98
11,A,0.05,1.5,0.966667
11,A,0.05,2.0,0.95
11,A,0.15,1.25,0.94
11,A,0.15,1.5,0.9
11,A,0.15,2.0,0.85
11,A,0.3,1.25,0.88
11,A,0.3,1.5,0.8
11,A,0.3,2.0,0.7
11,B,0.05,1.25,1.0
11,B,0.05,1.5,1.0
11,B,0.05,2.0,0.975
11,B,0.15,1.25,1.0
11,B,0.15,1.5,1.0
11,B,0.15,2.0,0.925
11,B,0.3,1.25,1.0
11,B,0.3,1.5,1.0
11,B,0.3,2.0,0.85
11,C,0.05,1.25,1.0
11,C,0.05,1.5,1.0
11,C,0.05,2.0,0.9875
11,C,0.15,1.25,1.0
11,C,0.15,1.5,1.0
11,C,0.15,2.0,0.9625
11,C,0.3,1.25,1.0
11,C,0.3,1.5,1.0
11,C,0.3,2.0,0.925
11,D,0.05,1.25,1.0
11,D,0.05,1.5,0.983333
11,D,0.05,2.0,0.9625
11,D,0.15,1.25,1.0
11,D,0.15,1.5,0.95
11,D,0.15,2.0,0.8875
11,D,0.3,1.25,1.0
11,D,0.3,1.5,0.9
11,D,0.3,2.0,0.775
11,E,0.05,1.25,1.0
11,E,0.05,1.5,1.0
11,E,0.05,2.0,1.0
11,E,0.15,1.25,1.0
11,E,0.15,1.5,1.0
11,E,0.15,2.0,1.0
11,E,0.3,1.25,1.0
11,E,0.3,1.5,1.0
11,E,0.3,2.0,1.0
11,F,0.05,1.25,1.0
11,F,0.05,1.5,1.0
11,F,0.05,2.0,0.975
11,F,0.15,1.25,1.0
11,F,0.15,1.5,1.0
11,F,0.15,2.0,0.925
11,F,0.3,1.25,1.0
11,F,0.3,1.5,1.0
11,F,0.3,2.0,0.85
